x,y
56,59.24362743
2,-1.053275611
82,86.79002254
57,60.14031858
44,44.04222058
26,24.5227488
52,52.95305521
41,43.16133498
44,45.67562576
3,-2.830749501
31,29.19693178
97,96.49812401
21,22.5453232
17,20.10741433
7,4.035430253
61,61.14568518
10,13.97163653
52,55.34529893
10,12.18441166
65,64.00077658
71,70.3188322
4,-0.936895047
24,18.91422276
26,23.87590331
51,47.5775361
42,43.2736092
62,66.48278755
74,75.72605529
77,80.59643338
3,-2.235879852
50,47.04654956
24,21.59635575
37,32.87558963
58,57.95782956
52,52.24760027
27,24.58286902
14,12.12573805
100,100.0158026
3530.15736917
72,74.04682658
5,1.611947467
71,70.36836307
54,52.26831735
84,83.1286166
42,43.64765048
54,49.44785426
74,72.6356699
54,52.78130641
53,57.11195136
78,79.1050629
97,101.6228548
49,53.5825402
71,68.92139297
48,46.9666961
51,51.02642868
89,85.52073551
99,99.51685756
93,94.63911256
49,46.78357742
18,21.21321959
65,58.37266004
83,87.22059677
100,102.4967859
41,43.88314335
52,53.06655757
29,26.33464785
97,98.52008934
7,9.400497579
51,52.94026699
58,53.83020877
50,45.94511142
67,65.0132736
89,86.5069584
76,75.63280796
35,36.78035027
99,100.5328916
31,29.04466136
52,51.70352433
11,9.199954718
66,71.70015848
50,49.82634062
39,37.49971096
60,53.65084683
35,33.92561965
53,49.92639685
14,8.148154262
49,49.72359037
16,16.16712757
76,75.30033002
13,9.577368568
51,48.38088357
70,72.95331671
98,92.59573853
86,88.85523586
100,99.00361771
46,45.09439571
51,46.94362684
50,48.33449605
91,94.92329574
48,47.78165248
81,81.28960746
38,37.83155021
40,39.69185252
79,76.92664854
96,88.02990531
60,56.99178872
70,72.58929383
44,44.98103442
11,11.99017641
6,1.919513328
5,1.628826073
72,66.27746655
55,57.53887255
95,94.70291077
41,41.21469904
25,25.04169243
1,3.778209914
55,50.50711779
4,9.682408486
48,48.88147608
55,54.40348599
75,71.70233156
68,69.35848388
100,99.98491591
25,26.03323718
75,75.48910307
34,36.59623056
38,40.95102191
92,86.78316267
21,15.50701184
88,85.86077871
75,79.20610113
76,80.80643766
44,48.59717283
10,13.93415049
21,27.3051179
16,14.00226297
32,33.67416
13,13.11612884
26,24.76649193
70,73.68477876
77,77.53149541
77,76.24503196
88,88.0578931
35,35.02445799
24,21.65857739
17,17.33681562
91,94.36778957
32,33.43396307
36,32.52179399
89,90.57741298
69,71.25634126
30,31.23212856
6,5.398840061
22,18.56241391
67,71.97121038
9,5.225759566
74,73.5964342
50,49.76948983
85,82.69087513
3,1.652309089
0,-3.836652144
59,62.03811556
62,61.26514581
17,13.24991628
90,88.61672694
23,21.13655528
19,23.85017475
93,92.01203405
14,10.26712261
58,54.14681616
87,87.00645713
37,37.69447352
20,19.62278654
35,34.78561007
